	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
498	Sat Jun 30 02:32:03 +0000 2018	@nytimes	Welcome to a highly diverse Toronto school just for kindergartners: 630 children, 24 classes, 40 languages https://t.co/rJFRloCnDZ	0.4588	0.167	0.833	0.0	499
283	Sat Jun 30 02:46:08 +0000 2018	@CNN	These numbers underscore the difficulty of reuniting immigrant families https://t.co/sgLIQkxxW2 https://t.co/D9ODRscHdn	-0.34	0.0	0.806	0.194	284
497	Sat Jun 30 02:47:01 +0000 2018	@nytimes	Driven by the needs of the financial industry, researchers are working on ways to manage vast computer systems down… https://t.co/S7Jo16NRzb	0.0	0.0	1.0	0.0	498
282	Sat Jun 30 03:01:03 +0000 2018	@CNN	"""This is horrific."" In a tweet, Sen. Ted Cruz condemned the Nazi running for Illinois' 3rd Congressional District https://t.co/gwFRQhbFcZ"	-0.4404	0.0	0.854	0.146	283
496	Sat Jun 30 03:02:04 +0000 2018	@nytimes	Leaked messages show that Russians offered at least three investment deals to Arron Banks, the biggest donor to the… https://t.co/D7vD41k34t	-0.3182	0.0	0.892	0.108	497
281	Sat Jun 30 03:08:52 +0000 2018	@CNN	"Netflix lives by the old motto that ""content is king."" So how, exactly, is it managing to dominate the streaming wo… https://t.co/SsVLEaO4WE"	-0.128	0.0	0.933	0.067	282
280	Sat Jun 30 03:14:00 +0000 2018	@CNN	"Toys ""R"" Us closes its final 200 US stores for good https://t.co/5yO1QoJ1Xd https://t.co/sP5ezxnoih"	0.4404	0.195	0.805	0.0	281
279	Sat Jun 30 03:16:04 +0000 2018	@CNN	The wife of slain Capital Gazette journalist Rob Hiaasen honored his life and legacy, saying her husband brought hu… https://t.co/Wo09FCjAw1	0.0516	0.15	0.709	0.142	280
495	Sat Jun 30 03:17:03 +0000 2018	@nytimes	RT @nytpolitics: When a radio shock jock dialed the White House switchboard impersonating a senator’s aide, he was patched through to Presi…	-0.3818	0.0	0.88	0.12	496
278	Sat Jun 30 03:19:49 +0000 2018	@CNN	President Trump celebrated the six-month anniversary of the Republican tax cuts by calling them an “economic miracl… https://t.co/UkWK50v6wI	0.3612	0.169	0.731	0.1	279
277	Sat Jun 30 03:29:08 +0000 2018	@CNN	"RT @CuomoPrimeTime: The prank call with President Trump that a comedian claims he partook in while pretending to be Sen. Bob Menendez is ""i…"	0.4588	0.16	0.84	0.0	278
276	Sat Jun 30 03:31:05 +0000 2018	@CNN	"""The Dancing Doctor"" has agreed to give up her medical license for at least two-and-a-half years, records show… https://t.co/yUoI16dN57"	0.2732	0.104	0.896	0.0	277
494	Sat Jun 30 03:32:05 +0000 2018	@nytimes	President Trump said that he plans to announce his pick to replace Justice Anthony Kennedy on July 9 https://t.co/CCQHIk8SPH	0.5267	0.167	0.833	0.0	495
275	Sat Jun 30 03:32:51 +0000 2018	@CNN	RT @CuomoPrimeTime: Trump Supreme Court adviser Leonard Leo tells @ChrisCuomo that the President has never once asked a single potential co…	0.5574	0.159	0.841	0.0	276
493	Sat Jun 30 03:35:17 +0000 2018	@nytimes	Migration Deal in Europe Makes No Commitments. Victory Is Declared. https://t.co/tymB1yEp8X	-0.1779	0.118	0.709	0.173	494
274	Sat Jun 30 03:46:05 +0000 2018	@CNN	Maryland could have the largest all-male delegation in Congress next year https://t.co/MAskMowi7a https://t.co/8K83v1101u	0.0	0.0	1.0	0.0	275
492	Sat Jun 30 03:47:05 +0000 2018	@nytimes	RT @wardnyt: Come fly with us through two of the best goals from @FIFAWorldCup https://t.co/8ycFb2f0O0 https://t.co/g0UlxYFzWZ	0.6369	0.219	0.781	0.0	493
